list_length,list_items,response,proportion_correct_in_position,per_position_binary,experiment_type,experiment_name
5,QRTGY,QRTGY,1.0,11111,Serial Recall,Length
9,LYZRGBSQK,LYZRGB???,0.667,111111000,Serial Recall,Length
4,KYMG,KYMG,1.0,1111,Serial Recall,Length
7,MKZTBSV,MKZTBS,0.857,1111110,Serial Recall,Length
9,VZRYBKTSG,VZRYB??S?,0.667,111110010,Serial Recall,Length
5,VTRPG,VTRPG,1.0,11111,Serial Recall,Length
8,KYTMVRSG,KYTMRVS??,0.625,11110010,Serial Recall,Length
8,PGSLZVKT,KPGSL????,0.0,0,Serial Recall,Length
8,RSKQDBLM,RSKQ???L,0.5,11110000,Serial Recall,Length
9,DLKQRVSZM,DLKQRV???,0.667,111111000,Serial Recall,Length
7,PRTLZMS,PLTRZM??,0.571,1010110,Serial Recall,Length
9,KQSBGLYVR,KQBSG???,0.333,110010000,Serial Recall,Length
4,LRZD,LRZD,1.0,1111,Serial Recall,Length
4,RLMS,RLMS,1.0,1111,Serial Recall,Length
9,YLZBTGDMS,YLZBT??SM,0.556,111110000,Serial Recall,Length
4,BSPQ,BSPQ,1.0,1111,Serial Recall,Length
7,MGKSZDV,MGKSZ?Q,0.714,1111100,Serial Recall,Length
6,GPZQRV,GPZQ?R,0.667,111100,Serial Recall,Length
7,DYMSPTV,DYMSP?V,0.857,1111101,Serial Recall,Length
6,MPBYTK,MPBYT?K,0.833,111110,Serial Recall,Length
8,SQRYLPGK,SURYLPGQ,0.75,10111110,Serial Recall,Length
9,QYPZRTKLG,KZQRZ???,0.0,0,Serial Recall,Length
5,YZQPG,YZQPG,1.0,11111,Serial Recall,Length
5,QVZRB,QVZRB,1.0,11111,Serial Recall,Length
6,MKVSLP,MKLSVP,0.667,110101,Serial Recall,Length
9,LZMPYDVTQ,LZMVPY??,0.333,111000000,Serial Recall,Length
4,RLSQ,RLSQ,1.0,1111,Serial Recall,Length
7,PSVZRGK,PSVZR??,0.714,1111100,Serial Recall,Length
5,VDYLT,VDYLT,1.0,11111,Serial Recall,Length
4,MQTD,MQTD,1.0,1111,Serial Recall,Length
4,PTGS,PTGS,1.0,1111,Serial Recall,Length
6,SQDRLK,SQDRLK,1.0,111111,Serial Recall,Length
4,TZKQ,TZKQ,1.0,1111,Serial Recall,Length
9,VMTQGZKPR,VMTZK???,0.333,111000000,Serial Recall,Length
8,QSYTBGZV,QSYTB????,0.625,11111000,Serial Recall,Length
4,BVYM,BVYM,1.0,1111,Serial Recall,Length
5,GRTVM,GRTVM,1.0,11111,Serial Recall,Length
7,SQPKVYG,SKPQVY,0.571,1010110,Serial Recall,Length
5,QSYLR,KSYLR,0.8,1111,Serial Recall,Length
6,KYVBZD,KYVBZD,1.0,111111,Serial Recall,Length
